=================================================
Log File Created: 2025-02-15 20:08:27 UTC
User: huyico
Unity Version: 2022.3.52f1
Platform: LinuxEditor
System Language: English
Device Model: PC
Operating System: Linux 6.13 Garuda Linux  64bit
=================================================

[2025-02-15 20:08:27] [Log] [SYSTEM] Logger initialized
[2025-02-15 20:08:29] [Log] Client 0 connected
[2025-02-15 20:08:29] [Log] Host started
[2025-02-15 20:08:32] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:32] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:33] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:33] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:34] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:35] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:35] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:35] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:08:36] [Log] Client 0 disconnected
