=================================================
Log File Created: 2025-02-15 20:12:51 UTC
User: huyico
Unity Version: 2022.3.52f1
Platform: LinuxEditor
System Language: English
Device Model: PC
Operating System: Linux 6.13 Garuda Linux  64bit
=================================================

[2025-02-15 20:12:51] [Log] [SYSTEM] Logger initialized
[2025-02-15 20:12:53] [Log] Client started
[2025-02-15 20:12:57] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:57] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:58] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:58] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:59] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:59] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:59] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:12:59] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:00] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:00] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:01] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:01] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:02] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:02] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:03] [Log] [CUSTOM] TestOnMove
[2025-02-15 20:13:03] [Log] [CUSTOM] TestOnMove
